case,ebno_db,noise_variance_no,rx_ant,subcarrier_f,symbol_s,pilot_mask_F,nonzero_dmrs_on_selected_port,tx_real,tx_imag,y_real,y_imag,h_true_real,h_true_imag,h_ls_real,h_ls_imag,err_var_rx_ant,err_var_mean_over_rx
twc_mild_clean,7.0,0.11694987863302231,0,2,9,0,0,0.9486832618713379,0.3162277638912201,-0.2960984408855438,-0.1151118278503418,-0.22199472784996033,0.3140382468700409,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,2,10,0,0,0.3162277638912201,0.9486832618713379,-0.21125054359436035,-0.36251598596572876,-0.21872703731060028,0.318629652261734,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,2,11,0,0,-0.3162277638912201,0.9486832618713379,-0.49222812056541443,-0.3384610414505005,-0.21546979248523712,0.3233397901058197,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,2,12,0,0,0.3162277638912201,-0.3162277638912201,-0.2248196005821228,-0.10424739122390747,-0.21222615242004395,0.32816842198371887,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,2,13,0,0,0.9486832618713379,-0.9486832618713379,0.23214150965213776,0.7054253220558167,-0.2089986503124237,0.33311527967453003,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,0,0,0,0.9486832618713379,-0.9486832618713379,0.11204208433628082,0.5419048070907593,-0.24347561597824097,0.30664384365081787,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,1,0,0,0.3162277638912201,-0.9486832618713379,0.7304278612136841,0.3123571574687958,-0.2413182258605957,0.3102930188179016,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,2,1,0,0.0,0.0,-0.07526954263448715,0.09337812662124634,-0.23914431035518646,0.314042329788208,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,3,0,0,0.9486832618713379,0.9486832618713379,-0.3193255662918091,0.5579960346221924,-0.23695532977581024,0.3178929090499878,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,4,0,0,-0.9486832618713379,0.9486832618713379,-0.06408300995826721,-0.6813718676567078,-0.23475274443626404,0.32184529304504395,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,5,0,0,0.3162277638912201,0.3162277638912201,0.1714787632226944,0.15297958254814148,-0.23253850638866425,0.3259005844593048,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,6,0,0,0.9486832618713379,0.3162277638912201,-0.15610943734645844,-0.03582495450973511,-0.2303142249584198,0.3300588130950928,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,7,0,0,0.9486832618713379,-0.9486832618713379,-0.07353205978870392,0.7818069458007812,-0.22808165848255157,0.33432090282440186,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,8,0,0,0.3162277638912201,-0.3162277638912201,-0.2899402379989624,-0.0014185011386871338,-0.2258424609899521,0.338687002658844,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,9,0,0,-0.9486832618713379,0.3162277638912201,0.5675240755081177,-0.5345733761787415,-0.22359858453273773,0.34315747022628784,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,10,0,0,-0.3162277638912201,-0.3162277638912201,0.3030818998813629,-0.16146862506866455,-0.2213522344827652,0.34773245453834534,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,11,0,0,0.3162277638912201,-0.9486832618713379,0.0029746294021606445,-0.07944798469543457,-0.2191052883863449,0.35241207480430603,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,12,0,0,0.9486832618713379,0.3162277638912201,-0.5161584615707397,0.013963103294372559,-0.21685977280139923,0.35719630122184753,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,3,13,0,0,-0.9486832618713379,-0.9486832618713379,0.9985341429710388,-0.025397881865501404,-0.2146180123090744,0.36208489537239075,-0.1965196281671524,0.366305947303772,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,0,0,0,-0.9486832618713379,0.3162277638912201,0.1910163015127182,-0.09874191880226135,-0.23653553426265717,0.33568859100341797,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,1,0,0,0.9486832618713379,-0.9486832618713379,0.3445887565612793,0.47792166471481323,-0.23523163795471191,0.3396979570388794,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,2,1,1,-1.0,-1.0,0.4948539733886719,-0.12789945304393768,-0.23390722274780273,0.3437943458557129,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,3,0,0,0.3162277638912201,-0.3162277638912201,-0.037730872631073,0.39443033933639526,-0.23256321251392365,0.34797874093055725,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,4,0,0,0.3162277638912201,0.9486832618713379,-0.4274296164512634,-0.2965123653411865,-0.2312004417181015,0.3522513806819916,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,5,0,0,-0.9486832618713379,0.9486832618713379,0.07713063061237335,-0.8883085250854492,-0.22982001304626465,0.3566131293773651,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,6,0,0,-0.9486832618713379,-0.9486832618713379,0.6650711297988892,0.04083487391471863,-0.22842293977737427,0.36106422543525696,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,7,0,0,-0.9486832618713379,0.3162277638912201,0.4316152334213257,-0.3904159665107727,-0.2270105630159378,0.36560511589050293,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,8,0,0,0.9486832618713379,0.9486832618713379,-0.10031723976135254,0.2607356607913971,-0.22558365762233734,0.3702361583709717,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,9,0,0,-0.3162277638912201,0.9486832618713379,-0.11029113829135895,-0.1584072709083557,-0.224143847823143,0.37495744228363037,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,10,0,0,0.9486832618713379,-0.9486832618713379,0.09015851467847824,0.4598734378814697,-0.22269226610660553,0.37976911664009094,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,4,11,0,0,0.3162277638912201,0.9486832618713379,0.046724677085876465,-0.37730035185813904,-0.22123028337955475,0.3846711218357086,-0.25042080879211426,0.45857495069503784,0.029237471520900726,0.029237471520900726
